id,category,sub_category,material,color,occasion,brand,title,,fit,sleeve_length,neck,waist_rise,closure,print_or_pattern_type,shape,length,collar,preprocessed_product_details
100042,men,tshirts,cotton,green,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton relaxed fit tshirt,,relaxed fit,,round neck,,,,,regular,,black white green tshirt unisex typography regular length round neck threequarter dropshoulder sleeves knitted
100043,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex typography printed round neck short sleeves oversized cotton tshirt,,oversized,,round neck,,,,,regular,,black tshirt unisex typography printed regular length round neck short regular sleeves knitted cotton fabric
100044,men,tshirts,cotton,white,"Everyday wear, Casual outings",dyca,men white solid round neck tshirt,,regular fit,,round neck,,,,,regular,,white solid tshirt has round neck long sleeves
100045,men,tshirts,cotton,green,"Everyday wear, Casual outings",flying machine,pure cotton tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100046,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,graphic printed pure cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,navy blue white tshirt men graphic printed regular length round neck sleeveless knitted cotton fabric
100047,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men black printed hood tshirt,,regular fit,,hood,,,,,regular,,black grey printed tshirt has hood sleeveless
100048,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men black printed hood tshirt,,regular fit,,hood,,,,,regular,,black white printed tshirt has hood short sleeves
100049,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men black printed hood tshirt,,regular fit,,hood,,,,,regular,,black printed tshirt has hood sleeveless
100050,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men black solid vneck pure cotton tshirt,,regular fit,,vneck,,,,,regular,,black solid tshirt has vneck short sleeves
100051,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men black vneck pure cotton tshirt,,regular fit,,vneck,,,,,regular,,black tshirt men solid regular length vneck long regular sleeves knitted pure cotton fabric
100052,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,men blue  white printed cotton tshirt,,regular fit,,scoop neck,,,,,regular,,blue white printed drop cut tshirt has scoopneck sleeveless features gsm
100053,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,men blue solid round neck pure cotton tshirt,,regular fit,,round neck,,,,,regular,,blue solid tshirt has round neck short sleeves
100054,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,men blue solid vneck pure cotton tshirt,,regular fit,,vneck,,,,,regular,,blue solid tshirt has vneck short sleeves
100055,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men grey  black printed tank tshirt,,regular fit,,scoop neck,,,,,regular,,grey black tshirt men graphic printed regular length scoop neck sleeveless sleeves knitted cotton fabric
100056,men,tshirts,cotton,yellow,"Everyday wear, Casual outings",friskers,men mustard yellow printed sleeveless cotton tshirt,,regular fit,,scoop neck,,,,,regular,,mustard yellow printed sleeveless tshirt of u neck drop cut straight hem
100057,men,tshirts,cotton,yellow,"Everyday wear, Casual outings",friskers,men mustard yellow solid vneck pure cotton tshirt,,regular fit,,vneck,,,,,regular,,mustard yellow solid tshirt has vneck short sleeves
100058,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,men olive green solid vneck pure cotton tshirt,,slim fit,,vneck,,,,,regular,,olive green solid tshirt has vneck long sleeves
100059,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,men olive green tshirt,,regular fit,,round neck,,,,,regular,,olive green tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100060,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,men olive green typography printed pure cotton tank tshirt,,regular fit,,scoop neck,,,,,regular,,olive green tank tshirtfor men typography printed regular length scoop neck sleeveless sleeves woven cotton fabric
100061,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,men sea green printed round neck pure cotton tshirt,,slim fit,,round neck,,,,,regular,,sea green black printed tshirt has round neck long sleeves
100062,men,tshirts,cotton,white,"Everyday wear, Casual outings",friskers,men tshirt,,regular fit,,round neck,,,,,regular,,white tshirt men graphic solid regular length round neck sleeveless sleeves knitted woven cotton fabric
100063,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,men typography printed round neck cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,navy blue blue tshirt men typography regular length round neck sleeveless knitted
100064,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,men typography printed round neck cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,black tshirt men typography regular length round neck sleeveless knitted
100065,men,tshirts,cotton,white,"Everyday wear, Casual outings",friskers,men white solid vneck pure cotton tshirt,,regular fit,,vneck,,,,,regular,,white solid tshirt has vneck short sleeves
100066,men,tshirts,cotton,white,"Everyday wear, Casual outings",friskers,printed slim fit pure cotton tshirt,,slim fit,,round neck,,,,,regular,,grey white tshirt men graphic printed regular length round neck sleeveless knitted cotton fabric
100067,men,tshirts,cotton,white,"Everyday wear, Casual outings",friskers,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,white tshirt men solid regular length round neck sleeveless knitted cotton fabric
100068,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,round neck sleeveless cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,sea green tshirt men solid colourblocked regular length round neck sleeveless sleeves knitted cotton fabric
100069,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,round neck sleeveless cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,black tshirt men solid regular length round neck sleeveless sleeves knitted cotton fabric
100070,men,tshirts,cotton,grey,"Everyday wear, Casual outings",friskers,round neck sleeveless cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,grey tshirt men solid regular length round neck sleeveless sleeves knitted cotton fabric
100071,men,tshirts,cotton,maroon,"Everyday wear, Casual outings",friskers,round neck sleeveless slim fit cotton tshirt,,slim fit,,round neck,,,,,regular,,maroon tshirt men solid regular length round neck sleeveless sleeves knitted cotton fabric
100072,men,tshirts,cotton,white,"Everyday wear, Casual outings",friskers,round neck sleeveless slim fit cotton tshirt,,slim fit,,round neck,,,,,regular,,white tshirt men solid regular length round neck sleeveless sleeves knitted cotton fabric
100073,men,tshirts,cotton,,"Everyday wear, Casual outings",friskers,round neck sleeveless slim fit cotton tshirt,,slim fit,,round neck,,,,,regular,,coral tshirt men solid regular length round neck sleeveless sleeves knitted cotton fabric
100074,men,tshirts,cotton,yellow,"Everyday wear, Casual outings",friskers,round neck sleeveless slim fit cotton tshirt,,slim fit,,round neck,,,,,regular,,yellow tshirt men solid regular length round neck sleeveless regular sleeves knitted cotton fabric
100075,men,tshirts,cotton,purple,"Everyday wear, Casual outings",friskers,round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,purple tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100076,men,tshirts,cotton,red,"Everyday wear, Casual outings",friskers,typography printed pure cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,red black tshirt men typography printed regular length round neck long regular sleeves knitted pure cotton fabric
100077,men,tshirts,cotton,green,"Everyday wear, Casual outings",friskers,typography printed pure cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,sea green black tshirt men typography printed regular length round neck sleeveless knitted cotton fabric
100078,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,typography printed sleeveless pure cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,navy blue tshirt men typography printed regular length round neck sleeveless knitted cotton fabric
100079,men,tshirts,cotton,red,"Everyday wear, Casual outings",friskers,typography printed slim fit pure cotton tshirt,,slim fit,,round neck,,,,,regular,,blue red tshirt men shiva graphic printed regular length round neck long regular sleeves knitted cotton fabric
100080,men,tshirts,cotton,black,"Everyday wear, Casual outings",friskers,typography printed vneck pure cotton tshirt,,slim fit,,vneck,,,,,regular,,mustard yellow black tshirt men typography printed regular length vneck long regular sleeves knitted pure cotton fabric
100081,men,tshirts,cotton,blue,"Everyday wear, Casual outings",friskers,typography pure sleeveless cotton slim fit tshirt,,slim fit,,round neck,,,,,regular,,turquoise blue tshirt printed design regular length round neck sleeveless knitted pure cotton fabric
100082,men,tshirts,cotton,maroon,"Everyday wear, Casual outings",friskers,vneck pure cotton slim fit tshirt,,slim fit,,vneck,,,,,regular,,maroon tshirt men solid regular length vneck short regular sleeves knitted pure cotton fabric
100083,men,tshirts,cotton,purple,"Everyday wear, Casual outings",friskers,vneck short sleeves slim fit tshirt,,slim fit,,vneck,,,,,regular,,purple tshirt men solid regular length vneck short regular sleeves knitted cotton fabric
100084,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,conversational embroidered polo collar tshirt,,regular fit,,polo collar,,,,,regular,,blue tshirt men embroidered regular length polo collar short regular sleeves knitted polyester fabric
100085,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,graphic printed applique round neck tshirt,,regular fit,,round neck,,,,,regular,,green white cream tshirt graphic printed applique regular length round neck short regular sleeves knitted polyester fabric
100086,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,graphic printed applique round neck tshirt,,regular fit,,round neck,,,,,regular,,green white orange tshirt graphic printed applique regular length round neck short regular sleeves knitted polyester fabric
100087,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,beige blue white tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100088,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,black blue white tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100089,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,green blue white tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100090,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,pink blue white tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100091,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,green blue white tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100092,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck regular fit tshirt,,regular fit,,round neck,,,,,regular,,white blue yellow tshirt graphic printed regular length round neck short regular sleeves knitted polyester fabric
100093,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green yellow blue graphic printed regular length round neck short regular sleeves knitted polyester fabric
100094,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,pink tshirt men solid regular length round neck short raglan sleeves knitted polyester fabric
100095,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short regular sleeves knitted polyester fabric
100096,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men graphic solid regular length round neck short regular sleeves knitted polyester fabric
100097,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short regular sleeves knitted polyester fabric
100098,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short regular sleeves knitted polyester fabric
100099,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,black tshirt men solid regular length round neck short raglan sleeves knitted polyester fabric
100100,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short raglan sleeves knitted polyester fabric
100101,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men solid regular length round neck short regular sleeves knitted polyester fabric
100102,men,tshirts,cotton,beige,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,beige tshirt men graphic solid regular length round neck short raglan sleeves knitted polyester fabric
100103,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men graphic solid regular length round neck short regular sleeves knitted polyester fabric
100104,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men humour comic solid regular length round neck short regular sleeves knitted polyester fabric
100105,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,pink tshirt men sports team jersey solid regular length round neck short regular sleeves knitted polyester fabric
100106,men,tshirts,cotton,beige,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,beige tshirt men sports team jersey solid regular length round neck short raglan sleeves knitted polyester fabric
100107,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men applique tshirt,,regular fit,,round neck,,,,,regular,,black tshirt men solid regular length round neck short raglan sleeves knitted polyester fabric
100108,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men blue pockets tshirt,,regular fit,,round neck,,,,,regular,,blue tshirt men solid regular length round neck short raglan sleeves knitted polyester fabric
100109,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men dropshoulder sleeves applique tshirt,,regular fit,,round neck,,,,,regular,,black tshirt men solid regular length round neck short dropshoulder sleeves knitted polyester fabric
100110,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men floral tshirt,,regular fit,,round neck,,,,,regular,,pink tshirt men floral solid regular length round neck short regular sleeves knitted polyester fabric
100111,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,beige black tshirt men graphic regular length round neck short sleeves knitted
100112,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,beige yellow blue tshirt men graphic regular length round neck short sleeves knitted
100113,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,green white red tshirt men graphic regular length round neck short sleeves knitted
100114,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green blue tshirt men graphic regular length round neck short sleeves knitted
100115,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,pink teal tshirt men graphic regular length round neck short sleeves knitted
100116,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green blue tshirt men graphic regular length round neck short sleeves knitted
100117,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green blue tshirt men graphic regular length round neck short sleeves knitted
100118,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green blue white tshirt men graphic regular length round neck short regular sleeves knitted
100119,men,tshirts,cotton,blue,"Everyday wear, Casual outings",greylongg,men graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green blue white tshirt men graphic regular length round neck short regular sleeves knitted
100120,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men green polo collar applique tshirt,,regular fit,,polo collar,,,,,regular,,green tshirt men solid regular length polo collar short raglan sleeves knitted polyester fabric
100121,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men marvel graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,green white red tshirt men graphic regular length round neck short sleeves knitted
100122,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men marvel graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,beige white red tshirt men graphic regular length round neck short sleeves knitted
100123,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men marvel graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,green white red tshirt men graphic regular length round neck short sleeves knitted
100124,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men marvel typography printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,pink white red tshirt men typography regular length round neck short sleeves knitted
100125,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men mickey  goofy graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,pink black orange tshirt men graphic regular length round neck short sleeves knitted
100126,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men minions graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,green black yellow tshirt men graphic regular length round neck short sleeves knitted
100127,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men minions graphic printed round neck slim fit tshirt,,slim fit,,round neck,,,,,regular,,pink black red tshirt men graphic regular length round neck short sleeves knitted
100128,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men minions graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,beige red yellow tshirt men graphic regular length round neck short sleeves knitted
100129,men,tshirts,cotton,red,"Everyday wear, Casual outings",greylongg,men minions graphic printed round neck tshirt,,regular fit,,round neck,,,,,regular,,pink red yellow tshirt men graphic regular length round neck short sleeves knitted
100130,men,tshirts,cotton,white,"Everyday wear, Casual outings",greylongg,men monochrome applique tshirt,,regular fit,,round neck,,,,,regular,,white tshirt men solid regular length round neck short regular sleeves knitted polyester fabric
100131,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men pink printed polo collar tshirt,,regular fit,,polo collar,,,,,regular,,pink tshirt men conversational printed regular length polo collar short regular sleeves knitted polyester fabric
100132,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men pockets tshirt,,regular fit,,round neck,,,,,longline,,pink tshirt men solid self design longline length round neck short raglan sleeves knitted polyester fabric
100133,men,tshirts,cotton,green,"Everyday wear, Casual outings",greylongg,men pockets tshirt,,regular fit,,round neck,,,,,regular,,green tshirt men people places solid regular length round neck short regular sleeves knitted polyester fabric
100134,men,tshirts,cotton,pink,"Everyday wear, Casual outings",greylongg,men pockets tshirt,,regular fit,,round neck,,,,,regular,,pink tshirt men humour comic solid regular length round neck short raglan sleeves knitted polyester fabric
100135,men,tshirts,polyester,pink,"Everyday wear, Casual outings",greylongg,men printed applique tshirt,,regular fit,,round neck,,,,,regular,,pink tshirt men humour comic solid regular length round neck short raglan sleeves knitted polyester fabric
100136,men,tshirts,cotton,black,"Everyday wear, Casual outings",greylongg,men raw edge tshirt,,regular fit,,round neck,,,,,regular,,black tshirt men graphic solid regular length round neck short raglan sleeves knitted polyester fabric
